run_id,asset_id,asset_type,failure_time,fault_type,severity,severity_category,repair_time_h,total_downtime_h,restoration_time
6,HWP_002,HW_Pump,2025-03-15 04:25:56.426588,Impeller damage,4,CRITICAL,7.490158339360283,7.490158339360283,2025-03-15 11:55:20.996610
7,FCU_001,FCU,2023-11-27 16:17:12.754255,Filter blockage,1,LOW,2.1706618961750466,2.1706618961750466,2023-11-27 18:27:27.137081
7,FCU_033,FCU,2024-08-28 06:37:40.420806,Fan motor failure,2,MEDIUM,2.517780786924415,2.517780786924415,2024-08-28 09:08:44.431639
7,FCU_011,FCU,2025-01-04 09:37:01.531431,Fan motor failure,2,MEDIUM,3.9243320531844446,3.9243320531844446,2025-01-04 13:32:29.126822
7,FCU_017,FCU,2025-04-11 10:16:57.128305,Fan motor failure,2,MEDIUM,2.9090619664262576,2.9090619664262576,2025-04-11 13:11:29.751384
7,FCU_023,FCU,2025-04-20 12:52:27.850344,Filter blockage,1,LOW,0.9965962559726531,0.9965962559726531,2025-04-20 13:52:15.596866
8,FCU_004,FCU,2024-01-20 07:51:28.935426,Valve actuator,2,MEDIUM,2.9000009578238863,2.9000009578238863,2024-01-20 10:45:28.938874
8,HP_001,HeatPump,2024-04-09 22:50:11.025495,Heat exchanger fouling,2,MEDIUM,4.522218565335382,4.522218565335382,2024-04-10 03:21:31.012330
8,FCU_033,FCU,2025-01-03 22:16:15.077213,Valve actuator,2,MEDIUM,2.8507360159688413,2.8507360159688413,2025-01-04 01:07:17.726870
8,HWP_001,HW_Pump,2025-03-18 08:16:06.220181,Motor overheating,3,HIGH,8.583156200241165,8.583156200241165,2025-03-18 16:51:05.582502
8,CHWP_002,CHW_Pump,2025-03-23 10:29:52.377413,Seal leakage,2,MEDIUM,6.19383463716171,6.19383463716171,2025-03-23 16:41:30.182107
8,FCU_006,FCU,2025-04-27 11:14:07.932353,Thermostat failure,1,LOW,2.4368705557299073,2.4368705557299073,2025-04-27 13:40:20.666354
9,HP_001,HeatPump,2024-02-15 16:13:30.220638,Control valve failure,3,HIGH,4.3680347777681074,4.3680347777681074,2024-02-15 20:35:35.145838
9,FCU_014,FCU,2024-04-24 13:42:17.923548,Coil fouling,1,LOW,1.93868086642331,1.93868086642331,2024-04-24 15:38:37.174667
9,CHWP_003,CHW_Pump,2024-08-27 22:07:10.662120,Impeller damage,4,CRITICAL,9.303446093436028,9.303446093436028,2024-08-28 07:25:23.068056
9,FCU_007,FCU,2024-10-18 22:58:31.448456,Filter blockage,1,LOW,1.0322200384961002,1.0322200384961002,2024-10-19 00:00:27.440595
10,CHWP_002,CHW_Pump,2024-12-10 19:57:06.280205,Seal leakage,2,MEDIUM,3.687244765621644,3.687244765621644,2024-12-10 23:38:20.361361
10,FCU_049,FCU,2025-05-20 05:44:21.368460,Coil fouling,1,LOW,1.0436406970973957,1.0436406970973957,2025-05-20 06:46:58.474970
11,FCU_037,FCU,2025-04-19 05:46:01.963179,Filter blockage,1,LOW,1.3121759738978007,1.3121759738978007,2025-04-19 07:04:45.796685
11,FCU_035,FCU,2025-04-23 05:36:47.737716,Filter blockage,1,LOW,1.5378730551724005,1.5378730551724005,2025-04-23 07:09:04.080715
11,FCU_007,FCU,2025-05-20 10:04:03.303509,Fan motor failure,2,MEDIUM,4.686371811691117,4.686371811691117,2025-05-20 14:45:14.242031
12,HWP_002,HW_Pump,2023-08-14 12:47:54.755841,Seal leakage,2,MEDIUM,4.715529602321181,4.715529602321181,2023-08-14 17:30:50.662409
12,HWP_001,HW_Pump,2025-01-05 03:23:34.635019,Motor overheating,3,HIGH,6.6046143545744505,6.6046143545744505,2025-01-05 09:59:51.246695
12,FCU_027,FCU,2025-04-14 06:52:08.571678,Fan motor failure,2,MEDIUM,4.557946302899438,4.557946302899438,2025-04-14 11:25:37.178368
12,FCU_041,FCU,2025-05-11 23:00:20.415582,Coil fouling,1,LOW,1.5673360150939524,1.5673360150939524,2025-05-12 00:34:22.825236
12,FCU_018,FCU,2025-05-26 04:14:04.775804,Fan motor failure,2,MEDIUM,4.438651307979111,4.438651307979111,2025-05-26 08:40:23.920513
13,FCU_015,FCU,2024-02-14 23:48:29.598188,Valve actuator,2,MEDIUM,3.265059761363959,3.265059761363959,2024-02-15 03:04:23.813329
13,FCU_026,FCU,2024-05-06 21:53:37.073694,Coil fouling,1,LOW,1.646715059214818,1.646715059214818,2024-05-06 23:32:25.247907
13,HWP_001,HW_Pump,2024-07-01 13:33:21.608709,Bearing wear,3,HIGH,5.390659955388698,5.390659955388698,2024-07-01 18:56:47.984548
14,HP_002,HeatPump,2024-06-19 23:54:23.222151,Compressor degradation,4,CRITICAL,12.872364121662153,12.872364121662153,2024-06-20 12:46:43.732989
14,FCU_007,FCU,2025-01-15 11:41:48.824270,Coil fouling,1,LOW,2.418225766938861,2.418225766938861,2025-01-15 14:06:54.437031
14,CHWP_003,CHW_Pump,2025-02-22 16:07:43.594125,Bearing wear,3,HIGH,5.237671752091685,5.237671752091685,2025-02-22 21:21:59.212433
15,HWP_002,HW_Pump,2024-03-01 08:45:23.154506,Bearing wear,3,HIGH,8.565295029207233,8.565295029207233,2024-03-01 17:19:18.216611
15,FCU_019,FCU,2025-02-21 04:20:06.955422,Coil fouling,1,LOW,1.4898166197522744,1.4898166197522744,2025-02-21 05:49:30.295253
15,FCU_049,FCU,2025-02-28 13:36:20.875878,Coil fouling,1,LOW,1.7895941337930592,1.7895941337930592,2025-02-28 15:23:43.414760
16,FCU_033,FCU,2024-08-27 01:59:05.763968,Coil fouling,1,LOW,1.8327660661767609,1.8327660661767609,2024-08-27 03:49:03.721806
17,HP_002,HeatPump,2024-03-04 09:08:46.047172,Heat exchanger fouling,2,MEDIUM,4.942636659020219,4.942636659020219,2024-03-04 14:05:19.539144
17,FCU_032,FCU,2024-06-19 07:29:56.737220,Fan motor failure,2,MEDIUM,4.449675518316204,4.449675518316204,2024-06-19 11:56:55.569086
17,FCU_005,FCU,2024-06-30 03:17:23.773182,Fan motor failure,2,MEDIUM,3.584912490678353,3.584912490678353,2024-06-30 06:52:29.458148
17,FCU_031,FCU,2024-08-17 21:34:36.836094,Valve actuator,2,MEDIUM,4.2445796806111,4.2445796806111,2024-08-18 01:49:17.322944
17,FCU_040,FCU,2024-09-29 08:01:57.628608,Coil fouling,1,LOW,2.2756958622332517,2.2756958622332517,2024-09-29 10:18:30.133712
17,FCU_012,FCU,2025-02-24 05:51:05.457531,Coil fouling,1,LOW,1.4349039406108401,1.4349039406108401,2025-02-24 07:17:11.111717
17,FCU_021,FCU,2025-04-06 04:01:49.142756,Filter blockage,1,LOW,0.7660288662254763,0.7660288662254763,2025-04-06 04:47:46.846674
18,FCU_050,FCU,2023-10-10 10:48:41.322296,Fan motor failure,2,MEDIUM,6.750278769976033,6.750278769976033,2023-10-10 17:33:42.325868
18,CHWP_003,CHW_Pump,2024-09-08 18:50:03.122295,Impeller damage,4,CRITICAL,13.27871932502354,13.27871932502354,2024-09-09 08:06:46.511865
18,HP_001,HeatPump,2024-12-28 18:28:16.057689,Compressor degradation,4,CRITICAL,13.7262347314551,13.7262347314551,2024-12-29 08:11:50.502722
19,FCU_006,FCU,2024-06-27 15:02:56.675649,Coil fouling,1,LOW,2.793768341705061,2.793768341705061,2024-06-27 17:50:34.241679
19,FCU_015,FCU,2024-10-17 07:24:45.678171,Filter blockage,1,LOW,0.7891728032318419,0.7891728032318419,2024-10-17 08:12:06.700263
19,FCU_011,FCU,2025-03-10 07:33:09.600437,Fan motor failure,2,MEDIUM,3.986237326602338,3.986237326602338,2025-03-10 11:32:20.054813
19,FCU_041,FCU,2025-03-16 18:46:26.525790,Coil fouling,1,LOW,1.637266630713733,1.637266630713733,2025-03-16 20:24:40.685661
19,FCU_033,FCU,2025-03-16 19:35:13.442398,Fan motor failure,2,MEDIUM,5.1004611766198025,5.1004611766198025,2025-03-17 00:41:15.102634
19,FCU_031,FCU,2025-04-01 01:34:11.304284,Fan motor failure,2,MEDIUM,4.811788394556476,4.811788394556476,2025-04-01 06:22:53.742504
20,FCU_034,FCU,2024-07-04 04:43:39.662942,Thermostat failure,1,LOW,1.5690191633054271,1.5690191633054271,2024-07-04 06:17:48.131930
20,HP_001,HeatPump,2024-09-27 16:46:08.904945,Compressor degradation,4,CRITICAL,18.59044746452762,18.59044746452762,2024-09-28 11:21:34.515817
21,FCU_034,FCU,2023-10-20 17:36:32.962867,Valve actuator,2,MEDIUM,1.5726773859597576,1.5726773859597576,2023-10-20 19:10:54.601456
21,FCU_017,FCU,2024-04-02 22:38:09.902610,Thermostat failure,1,LOW,2.488318048397562,2.488318048397562,2024-04-03 01:07:27.847584
21,CHWP_001,CHW_Pump,2024-11-08 17:08:56.324844,Bearing wear,3,HIGH,9.633374803801361,9.633374803801361,2024-11-09 02:46:56.474138
21,FCU_006,FCU,2025-03-08 13:10:34.148279,Fan motor failure,2,MEDIUM,3.0176044281655052,3.0176044281655052,2025-03-08 16:11:37.524220
22,FCU_045,FCU,2024-05-29 03:56:51.080336,Coil fouling,1,LOW,2.8408423700415932,2.8408423700415932,2024-05-29 06:47:18.112868
22,FCU_011,FCU,2024-11-22 03:10:13.302650,Coil fouling,1,LOW,2.9304717912603913,2.9304717912603913,2024-11-22 06:06:03.001099
22,FCU_026,FCU,2025-01-03 05:51:03.383724,Thermostat failure,1,LOW,2.0753344654499,2.0753344654499,2025-01-03 07:55:34.587800
22,FCU_001,FCU,2025-03-11 18:42:51.232738,Filter blockage,1,LOW,0.9377013986289814,0.9377013986289814,2025-03-11 19:39:06.957773
22,HP_001,HeatPump,2025-03-20 09:21:21.432226,Refrigerant leak,3,HIGH,4.743455481612186,4.743455481612186,2025-03-20 14:05:57.871960
23,FCU_047,FCU,2023-10-03 07:57:09.253383,Fan motor failure,2,MEDIUM,4.358950554609219,4.358950554609219,2023-10-03 12:18:41.475380
23,HP_002,HeatPump,2024-08-03 14:52:07.048063,Compressor degradation,4,CRITICAL,17.300511246568057,17.300511246568057,2024-08-04 08:10:08.888551
23,FCU_005,FCU,2024-10-30 10:31:17.431957,Fan motor failure,2,MEDIUM,4.459150547166548,4.459150547166548,2024-10-30 14:58:50.373927
23,FCU_038,FCU,2025-01-18 12:00:26.970453,Fan motor failure,2,MEDIUM,4.600363173251386,4.600363173251386,2025-01-18 16:36:28.277877
23,FCU_013,FCU,2025-03-28 20:18:50.932781,Coil fouling,1,LOW,1.9363088523679322,1.9363088523679322,2025-03-28 22:15:01.644650
24,CHWP_003,CHW_Pump,2023-05-19 00:29:16.500211,Impeller damage,4,CRITICAL,9.852361567252556,9.852361567252556,2023-05-19 10:20:25.001853
24,FCU_034,FCU,2024-03-11 23:02:35.629933,Fan motor failure,2,MEDIUM,4.600095393254822,4.600095393254822,2024-03-12 03:38:35.973349
24,FCU_027,FCU,2025-04-03 06:43:11.585798,Coil fouling,1,LOW,1.5383619843141398,1.5383619843141398,2025-04-03 08:15:29.688942
25,FCU_002,FCU,2024-09-23 05:20:26.391070,Fan motor failure,2,MEDIUM,4.426572752900741,4.426572752900741,2024-09-23 09:46:02.052980
25,FCU_048,FCU,2024-12-19 14:38:27.471288,Fan motor failure,2,MEDIUM,4.121271449643772,4.121271449643772,2024-12-19 18:45:44.048507
26,FCU_014,FCU,2024-04-08 22:21:29.383833,Fan motor failure,2,MEDIUM,3.6283569466708174,3.6283569466708174,2024-04-09 01:59:11.468841
26,FCU_010,FCU,2024-08-04 09:14:00.157268,Coil fouling,1,LOW,2.189682761804174,2.189682761804174,2024-08-04 11:25:23.015210
27,FCU_003,FCU,2023-05-13 21:29:26.690279,Coil fouling,1,LOW,1.1032859100983767,1.1032859100983767,2023-05-13 22:35:38.519555
27,CHWP_002,CHW_Pump,2024-08-14 02:35:07.547974,Bearing wear,3,HIGH,5.7367523791952,5.7367523791952,2024-08-14 08:19:19.856539
27,FCU_021,FCU,2025-02-10 06:02:32.979263,Valve actuator,2,MEDIUM,4.092740019473117,4.092740019473117,2025-02-10 10:08:06.843333
28,FCU_042,FCU,2024-04-10 03:39:08.070652,Coil fouling,1,LOW,1.3509622881011845,1.3509622881011845,2024-04-10 05:00:11.534889
28,FCU_047,FCU,2024-08-06 05:34:01.670968,Fan motor failure,2,MEDIUM,4.957294588280263,4.957294588280263,2024-08-06 10:31:27.931486
28,FCU_012,FCU,2025-02-09 13:48:32.513734,Fan motor failure,2,MEDIUM,3.3992756486353395,3.3992756486353395,2025-02-09 17:12:29.906069
28,FCU_006,FCU,2025-05-11 01:31:27.317195,Valve actuator,2,MEDIUM,3.5783114375990253,3.5783114375990253,2025-05-11 05:06:09.238370
28,HP_002,HeatPump,2025-05-17 17:10:48.082043,Control valve failure,3,HIGH,2.6597427242793783,2.6597427242793783,2025-05-17 19:50:23.155850
29,FCU_004,FCU,2023-12-17 13:10:16.226828,Valve actuator,2,MEDIUM,3.826711430109492,3.826711430109492,2023-12-17 16:59:52.387976
29,FCU_019,FCU,2024-02-20 13:40:57.628821,Fan motor failure,2,MEDIUM,4.043008803758401,4.043008803758401,2024-02-20 17:43:32.460515
29,FCU_011,FCU,2024-10-22 21:08:36.136794,Thermostat failure,1,LOW,1.4054350621018334,1.4054350621018334,2024-10-22 22:32:55.703018
29,HWP_001,HW_Pump,2025-03-31 14:34:40.698425,Seal leakage,2,MEDIUM,3.2991761622430538,3.2991761622430538,2025-03-31 17:52:37.732609
30,FCU_047,FCU,2024-04-15 13:17:06.004811,Coil fouling,1,LOW,2.4637963270078465,2.4637963270078465,2024-04-15 15:44:55.671588
30,CHWP_002,CHW_Pump,2025-04-15 18:02:13.083557,Bearing wear,3,HIGH,12.434174243647998,12.434174243647998,2025-04-16 06:28:16.110834
31,HWP_002,HW_Pump,2024-04-03 21:49:37.645914,Seal leakage,2,MEDIUM,3.1297420265685987,3.1297420265685987,2024-04-04 00:57:24.717210
31,FCU_024,FCU,2024-09-04 10:59:14.332871,Filter blockage,1,LOW,1.1926970058684303,1.1926970058684303,2024-09-04 12:10:48.042092
31,HP_001,HeatPump,2024-09-12 11:11:48.440179,Refrigerant leak,3,HIGH,9.464908446113483,9.464908446113483,2024-09-12 20:39:42.110585
31,FCU_031,FCU,2024-10-02 14:32:02.827567,Coil fouling,1,LOW,2.8848152068900137,2.8848152068900137,2024-10-02 17:25:08.162312
31,FCU_035,FCU,2024-10-03 17:54:57.864859,Coil fouling,1,LOW,2.4590109234973623,2.4590109234973623,2024-10-03 20:22:30.304184
31,CHWP_001,CHW_Pump,2025-02-28 02:12:18.692729,Seal leakage,2,MEDIUM,4.038327136563885,4.038327136563885,2025-02-28 06:14:36.670421
31,FCU_034,FCU,2025-03-30 13:52:38.509143,Coil fouling,1,LOW,2.5766079631708,2.5766079631708,2025-03-30 16:27:14.297810
31,FCU_006,FCU,2025-04-24 20:44:14.502970,Filter blockage,1,LOW,0.874161569356093,0.874161569356093,2025-04-24 21:36:41.484620
31,FCU_029,FCU,2025-05-02 05:26:18.902557,Filter blockage,1,LOW,0.56051562192137,0.56051562192137,2025-05-02 05:59:56.758796
31,FCU_012,FCU,2025-05-07 08:54:05.800482,Coil fouling,1,LOW,1.4391562654136767,1.4391562654136767,2025-05-07 10:20:26.763037
31,FCU_017,FCU,2025-05-24 18:35:44.103301,Valve actuator,2,MEDIUM,1.7680212589508564,1.7680212589508564,2025-05-24 20:21:48.979833
32,FCU_044,FCU,2024-07-17 17:52:31.792911,Filter blockage,1,LOW,1.4767472150514558,1.4767472150514558,2024-07-17 19:21:08.082885
32,FCU_003,FCU,2024-09-25 10:25:18.649158,Fan motor failure,2,MEDIUM,4.27156529062166,4.27156529062166,2024-09-25 14:41:36.284204
32,CT_001,CoolingTower,2024-11-13 18:09:35.530345,Drift eliminator damage,2,MEDIUM,4.782230969335618,4.782230969335618,2024-11-13 22:56:31.561835
32,FCU_018,FCU,2024-12-27 13:27:13.244035,Fan motor failure,2,MEDIUM,4.026282011805225,4.026282011805225,2024-12-27 17:28:47.859277
32,FCU_014,FCU,2025-03-13 23:35:33.490957,Filter blockage,1,LOW,0.7968729676867552,0.7968729676867552,2025-03-14 00:23:22.233641
33,FCU_008,FCU,2024-10-22 13:30:32.265821,Coil fouling,1,LOW,2.2308763490177954,2.2308763490177954,2024-10-22 15:44:23.420677
33,FCU_003,FCU,2025-04-12 11:47:02.450745,Coil fouling,1,LOW,1.8043534344648726,1.8043534344648726,2025-04-12 13:35:18.123109
33,FCU_026,FCU,2025-05-15 13:06:03.167044,Coil fouling,1,LOW,1.9962918265082767,1.9962918265082767,2025-05-15 15:05:49.817619
33,FCU_009,FCU,2025-05-21 12:12:33.438058,Filter blockage,1,LOW,0.7895010474472665,0.7895010474472665,2025-05-21 12:59:55.641829
34,FCU_014,FCU,2024-06-29 15:42:39.738742,Fan motor failure,2,MEDIUM,4.248760861996556,4.248760861996556,2024-06-29 19:57:35.277845
34,FCU_045,FCU,2024-07-04 21:37:25.940760,Coil fouling,1,LOW,1.8146549969432122,1.8146549969432122,2024-07-04 23:26:18.698749
34,FCU_032,FCU,2024-08-31 19:37:29.718532,Filter blockage,1,LOW,0.6183829594153883,0.6183829594153883,2024-08-31 20:14:35.897186
34,FCU_013,FCU,2024-10-05 22:37:32.684210,Fan motor failure,2,MEDIUM,4.473037147016003,4.473037147016003,2024-10-06 03:05:55.617939
34,FCU_031,FCU,2025-03-18 22:47:04.433049,Fan motor failure,2,MEDIUM,2.272460959741981,2.272460959741981,2025-03-19 01:03:25.292504
34,FCU_050,FCU,2025-04-19 01:59:31.452299,Filter blockage,1,LOW,0.7556160708180878,0.7556160708180878,2025-04-19 02:44:51.670154
35,FCU_049,FCU,2023-10-15 04:53:41.049679,Fan motor failure,2,MEDIUM,3.255629136183239,3.255629136183239,2023-10-15 08:09:01.314569
35,FCU_002,FCU,2024-11-15 12:17:38.743076,Thermostat failure,1,LOW,2.5275443613303095,2.5275443613303095,2024-11-15 14:49:17.902777
36,FCU_048,FCU,2024-12-31 18:27:19.299450,Filter blockage,1,LOW,1.3523272903649641,1.3523272903649641,2024-12-31 19:48:27.677695
37,FCU_022,FCU,2024-05-30 10:25:55.419168,Coil fouling,1,LOW,2.5283488493118846,2.5283488493118846,2024-05-30 12:57:37.475026
37,FCU_036,FCU,2024-07-30 05:39:22.125625,Filter blockage,1,LOW,0.7801652006990454,0.7801652006990454,2024-07-30 06:26:10.720348
37,FCU_030,FCU,2024-12-15 10:47:16.672118,Coil fouling,1,LOW,3.316804191036056,3.316804191036056,2024-12-15 14:06:17.167206
37,FCU_024,FCU,2025-01-05 03:41:00.975878,Fan motor failure,2,MEDIUM,5.208279932022912,5.208279932022912,2025-01-05 08:53:30.783633
37,FCU_042,FCU,2025-03-07 18:42:56.979611,Fan motor failure,2,MEDIUM,2.885682925162118,2.885682925162118,2025-03-07 21:36:05.438142
37,FCU_008,FCU,2025-03-30 21:33:36.045831,Filter blockage,1,LOW,0.8767910353122901,0.8767910353122901,2025-03-30 22:26:12.493558
37,FCU_046,FCU,2025-04-25 04:22:06.497684,Valve actuator,2,MEDIUM,2.813070114837283,2.813070114837283,2025-04-25 07:10:53.550097
38,FCU_046,FCU,2024-05-21 14:59:43.731781,Fan motor failure,2,MEDIUM,3.7896956216548663,3.7896956216548663,2024-05-21 18:47:06.636019
38,HWP_001,HW_Pump,2024-06-01 05:36:11.389057,Motor overheating,3,HIGH,4.482930779388596,4.482930779388596,2024-06-01 10:05:09.939863
38,FCU_003,FCU,2025-05-25 19:33:31.656927,Fan motor failure,2,MEDIUM,4.697585187521192,4.697585187521192,2025-05-26 00:15:22.963602
39,FCU_008,FCU,2024-05-25 10:42:56.908175,Coil fouling,1,LOW,1.348893579715629,1.348893579715629,2024-05-25 12:03:52.925062
39,FCU_034,FCU,2024-10-12 09:42:15.119348,Thermostat failure,1,LOW,2.2120110233079675,2.2120110233079675,2024-10-12 11:54:58.359032
40,FCU_025,FCU,2024-10-27 03:09:16.006379,Coil fouling,1,LOW,1.5222385761676434,1.5222385761676434,2024-10-27 04:40:36.065253
40,HWP_002,HW_Pump,2025-02-09 08:40:24.480720,Bearing wear,3,HIGH,9.13572525373531,9.13572525373531,2025-02-09 17:48:33.091633
41,HWP_002,HW_Pump,2024-12-09 10:38:58.578560,Seal leakage,2,MEDIUM,5.015143327411307,5.015143327411307,2024-12-09 15:39:53.094539
41,FCU_042,FCU,2025-04-23 04:25:08.283451,Thermostat failure,1,LOW,1.8380127110601163,1.8380127110601163,2025-04-23 06:15:25.129211
41,HP_002,HeatPump,2025-04-27 21:18:52.444404,Compressor degradation,4,CRITICAL,12.695859890764693,12.695859890764693,2025-04-28 10:00:37.540011
42,FCU_014,FCU,2024-08-26 16:47:59.524977,Thermostat failure,1,LOW,2.0989064202867485,2.0989064202867485,2024-08-26 18:53:55.588090
42,FCU_009,FCU,2024-12-10 09:25:54.815879,Valve actuator,2,MEDIUM,3.7742871332388455,3.7742871332388455,2024-12-10 13:12:22.249559
42,FCU_001,FCU,2025-02-13 16:45:40.914310,Filter blockage,1,LOW,1.0914649378868417,1.0914649378868417,2025-02-13 17:51:10.188086
42,HP_001,HeatPump,2025-03-04 18:10:16.926606,Refrigerant leak,3,HIGH,8.262316185487588,8.262316185487588,2025-03-05 02:26:01.264874
42,CHWP_003,CHW_Pump,2025-05-08 15:39:26.548096,Impeller damage,4,CRITICAL,11.944919198961538,11.944919198961538,2025-05-09 03:36:08.257212
43,FCU_023,FCU,2024-10-09 09:30:56.848234,Thermostat failure,1,LOW,2.9053030552035843,2.9053030552035843,2024-10-09 12:25:15.939233
43,FCU_008,FCU,2025-05-17 05:45:46.192747,Valve actuator,2,MEDIUM,2.246447951456224,2.246447951456224,2025-05-17 08:00:33.405372
44,FCU_006,FCU,2024-02-25 15:51:10.786623,Filter blockage,1,LOW,0.6460910338727847,0.6460910338727847,2024-02-25 16:29:56.714345
44,FCU_046,FCU,2024-03-14 06:11:17.920074,Coil fouling,1,LOW,1.834900943317036,1.834900943317036,2024-03-14 08:01:23.563470
44,FCU_047,FCU,2024-03-28 19:08:42.287209,Thermostat failure,1,LOW,1.600457649889358,1.600457649889358,2024-03-28 20:44:43.934749
44,FCU_001,FCU,2024-08-01 10:02:58.166563,Coil fouling,1,LOW,2.3192222269368385,2.3192222269368385,2024-08-01 12:22:07.366580
44,FCU_040,FCU,2024-12-21 09:27:21.754375,Coil fouling,1,LOW,1.4267275798035746,1.4267275798035746,2024-12-21 10:52:57.973662
45,FCU_008,FCU,2024-05-21 19:11:51.407765,Valve actuator,2,MEDIUM,2.623345974745419,2.623345974745419,2024-05-21 21:49:15.453274
45,FCU_040,FCU,2025-05-16 20:05:40.657787,Fan motor failure,2,MEDIUM,3.05409896737717,3.05409896737717,2025-05-16 23:08:55.414070
46,FCU_026,FCU,2024-02-15 12:00:02.626772,Valve actuator,2,MEDIUM,2.4572545894917144,2.4572545894917144,2024-02-15 14:27:28.743294
46,HP_001,HeatPump,2024-05-30 17:06:23.704130,Compressor degradation,4,CRITICAL,8.990180009111304,8.990180009111304,2024-05-31 02:05:48.352163
46,FCU_037,FCU,2024-06-19 17:18:57.803745,Fan motor failure,2,MEDIUM,3.439224119697288,3.439224119697288,2024-06-19 20:45:19.010576
46,FCU_009,FCU,2024-12-25 18:08:43.435814,Filter blockage,1,LOW,1.706400072882607,1.706400072882607,2024-12-25 19:51:06.476076
46,FCU_023,FCU,2025-01-31 04:30:27.793347,Filter blockage,1,LOW,1.091261723733537,1.091261723733537,2025-01-31 05:35:56.335552
46,FCU_047,FCU,2025-02-12 22:36:15.351728,Valve actuator,2,MEDIUM,3.6986581850460354,3.6986581850460354,2025-02-13 02:18:10.521194
46,FCU_022,FCU,2025-02-23 05:23:13.727776,Coil fouling,1,LOW,2.4583079184900094,2.4583079184900094,2025-02-23 07:50:43.636283
46,FCU_003,FCU,2025-05-22 03:18:25.762074,Thermostat failure,1,LOW,2.1393916298704214,2.1393916298704214,2025-05-22 05:26:47.571942
47,HWP_002,HW_Pump,2023-10-07 19:22:32.015292,Impeller damage,4,CRITICAL,11.811111848707151,11.811111848707151,2023-10-08 07:11:12.017947
